areaCode,areaName,areaType,date,newCasesBySpecimenDate
E06000023,"Bristol, City of",ltla,07/05/2020,15
E06000023,"Bristol, City of",ltla,06/05/2020,22
E06000023,"Bristol, City of",ltla,05/05/2020,12
E06000023,"Bristol, City of",ltla,04/05/2020,21
E06000023,"Bristol, City of",ltla,03/05/2020,10
E06000023,"Bristol, City of",ltla,02/05/2020,13
E06000023,"Bristol, City of",ltla,01/05/2020,29
E06000023,"Bristol, City of",ltla,30/04/2020,22
E06000023,"Bristol, City of",ltla,29/04/2020,31
E06000023,"Bristol, City of",ltla,28/04/2020,34
E06000023,"Bristol, City of",ltla,27/04/2020,30
E06000023,"Bristol, City of",ltla,26/04/2020,23
E06000023,"Bristol, City of",ltla,25/04/2020,12
E06000023,"Bristol, City of",ltla,24/04/2020,39
E06000023,"Bristol, City of",ltla,23/04/2020,25
E06000023,"Bristol, City of",ltla,22/04/2020,38
E06000023,"Bristol, City of",ltla,21/04/2020,20
E06000023,"Bristol, City of",ltla,20/04/2020,21
E06000023,"Bristol, City of",ltla,19/04/2020,15
E06000023,"Bristol, City of",ltla,18/04/2020,14
E06000023,"Bristol, City of",ltla,17/04/2020,14
E06000023,"Bristol, City of",ltla,16/04/2020,28
E06000023,"Bristol, City of",ltla,15/04/2020,22
E06000023,"Bristol, City of",ltla,14/04/2020,17
E06000023,"Bristol, City of",ltla,13/04/2020,16
E06000023,"Bristol, City of",ltla,12/04/2020,15
E06000023,"Bristol, City of",ltla,11/04/2020,26
E06000023,"Bristol, City of",ltla,10/04/2020,18
E06000023,"Bristol, City of",ltla,09/04/2020,17
E06000023,"Bristol, City of",ltla,08/04/2020,28
E06000023,"Bristol, City of",ltla,07/04/2020,22
E06000023,"Bristol, City of",ltla,06/04/2020,13
E06000023,"Bristol, City of",ltla,05/04/2020,14
E06000023,"Bristol, City of",ltla,04/04/2020,10
E06000023,"Bristol, City of",ltla,03/04/2020,20
E06000023,"Bristol, City of",ltla,02/04/2020,14
E06000023,"Bristol, City of",ltla,01/04/2020,17
E06000023,"Bristol, City of",ltla,31/03/2020,18
E06000023,"Bristol, City of",ltla,30/03/2020,17
E06000023,"Bristol, City of",ltla,29/03/2020,12
E06000023,"Bristol, City of",ltla,28/03/2020,10
E06000023,"Bristol, City of",ltla,27/03/2020,13
E06000023,"Bristol, City of",ltla,26/03/2020,14
E06000023,"Bristol, City of",ltla,25/03/2020,12
E06000023,"Bristol, City of",ltla,24/03/2020,4
E06000023,"Bristol, City of",ltla,23/03/2020,10
E06000023,"Bristol, City of",ltla,22/03/2020,5
E06000023,"Bristol, City of",ltla,21/03/2020,8
E06000023,"Bristol, City of",ltla,20/03/2020,4
E06000023,"Bristol, City of",ltla,19/03/2020,2
E06000023,"Bristol, City of",ltla,18/03/2020,7
E06000023,"Bristol, City of",ltla,17/03/2020,3
E06000023,"Bristol, City of",ltla,16/03/2020,0
E06000023,"Bristol, City of",ltla,15/03/2020,1
E06000023,"Bristol, City of",ltla,14/03/2020,2
E06000023,"Bristol, City of",ltla,13/03/2020,3
E06000023,"Bristol, City of",ltla,12/03/2020,1
E06000023,"Bristol, City of",ltla,11/03/2020,0
E06000023,"Bristol, City of",ltla,10/03/2020,1
E06000023,"Bristol, City of",ltla,09/03/2020,0
E06000023,"Bristol, City of",ltla,08/03/2020,0
E06000023,"Bristol, City of",ltla,07/03/2020,1
E06000023,"Bristol, City of",ltla,06/03/2020,1
E06000023,"Bristol, City of",ltla,05/03/2020,0
E06000023,"Bristol, City of",ltla,04/03/2020,0
E06000023,"Bristol, City of",ltla,03/03/2020,1
